movieId,title,rating
42013,"Ringer, The (2005)",4
119171,Katt Williams: The Pimp Chronicles Pt. 1 (2006),4
110130,"Nut Job, The (2014)",3
170411,Dave Chappelle: Deep in the Heart of Texas (2017),5
58998,Forgetting Sarah Marshall (2008),5
6812,"Rookie, The (1990)",3.5
500,Mrs. Doubtfire (1993),5
250,Heavyweights (Heavy Weights) (1995),3
3034,Robin Hood (1973),4
136369,The Jetsons Meet the Flintstones (1987),4
205661,Maleficent: Mistress of Evil (2019),3.5
2078,"Jungle Book, The (1967)",4.5
159817,Planet Earth (2006),5
171011,Planet Earth II (2016),5
86347,Louis C.K.: Chewed Up (2008),4.5
