movieId,title,rating
102684,Only God Forgives (2013),
44849,Renaissance (2006),
67197,Knowing (2009),
2610,Three Seasons (1999),
80736,"Poughkeepsie Tapes, The (2007)",
25866,"Sea Hawk, The (1940)",
4865,From Hell (2001),
1878,Woo (1998),
3042,Meatballs III (1987),
74967,"Mysteries of Pittsburgh, The (2008)",
77780,Virtuality (2009),
97936,Anna Karenina (2012),
8571,Bob & Carol & Ted & Alice (1969),
1200,Aliens (1986),
27376,"Tunnel, The (Tunnel, Der) (2001)",
113364,Rob the Mob (2014),
5076,"Adventures of Huck Finn, The (1993)",
63222,JCVD (2008),
6592,"Secret Lives of Dentists, The (2002)",
5368,Ballad of a Soldier (Ballada o soldate) (1959),
59159,Murders in the Rue Morgue (1932),
3135,"Great Santini, The (1979)",
4371,Baby Boy (2001),
51931,Reign Over Me (2007),
7786,Genghis Blues (1999),
8775,"Counterfeit Traitor, The (1962)",
8614,Overboard (1987),
87522,Larry Crowne (2011),
511,"Program, The (1993)",
67073,Day of the Dead (2008),
1629,"MatchMaker, The (1997)",
2984,On Any Sunday (1971),
89060,Cold Prey (Fritt Vilt) (2006),
71579,"Education, An (2009)",
2450,Howard the Duck (1986),
436,Color of Night (1994),
43652,"Comedians of Comedy, The (2005)",
8807,Harold and Kumar Go to White Castle (2004),5
4585,"Dream Team, The (1989)",
4729,Aberdeen (2000),
71542,"September Issue, The (2009)",
73089,Beyond a Reasonable Doubt (2009),
59429,American Pie Presents Beta House (American Pie 6: Beta House) (2007),3.5
27765,Trauma (2004),
912,Casablanca (1942),4
2473,Soul Man (1986),
509,"Piano, The (1993)",
5718,Carbon Copy (1981),
48268,Empire Falls (2005),
2046,Flight of the Navigator (1986),
6685,Marci X (2003),
37386,Aeon Flux (2005),
108,Catwalk (1996),
4182,Tuff Turf (1985),
74944,Brooklyn's Finest (2010),
2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),4.5
294,"Perez Family, The (1995)",
15,Cutthroat Island (1995),
72703,Me and Orson Welles (2008),
52929,Red Road (2006),
68482,XIII: The Conspiracy (2008),
5310,Transylvania 6-5000 (1985),
79590,"Rebound, The (2009)",
8771,Sherlock Holmes: Terror by Night (1946),
4618,Leviathan (1989),
1399,Marvin's Room (1996),
27741,"Twilight Samurai, The (Tasogare Seibei) (2002)",
7195,"Enforcer, The (1951)",
117176,The Theory of Everything (2014),5
62801,Lone Wolf and Cub: Baby Cart to Hades (Kozure Ôkami: Shinikazeni mukau ubaguruma) (1972),
3965,"Strange Love of Martha Ivers, The (1946)",
25796,"Ghoul, The (1933)",
2809,Love Stinks (1999),
2637,"Mummy's Hand, The (1940)",
74530,Percy Jackson & the Olympians: The Lightning Thief (2010),
838,Emma (1996),
1262,"Great Escape, The (1963)",
2141,"American Tail, An (1986)",
87096,Group Sex (2010),
32657,"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)",
110611,Cold in July (2014),
4508,Gorillas in the Mist (1988),
3232,Seven Chances (1925),
4225,"Dish, The (2001)",
